"Mass.Feature","Replicate.Name","Adjusted.Area"
"2-Hydroxy-4-(methylthio)butyric","171009_Smp_IL1DMB5um_1",157997.612903226
"2-Hydroxy-4-(methylthio)butyric","171009_Smp_IL1DMB5um_2",264098.322580645
"2-Hydroxy-4-(methylthio)butyric","171009_Smp_IL1DMB5um_3",335468.258064516
"2-Hydroxy-4-(methylthio)butyric","171009_Smp_IL1DMBnoBT5um_1",295984.290322581
"2-Hydroxy-4-(methylthio)butyric","171009_Smp_IL1DMBnoBT5um_2",284098.967741935
"2-Hydroxy-4-(methylthio)butyric","171009_Smp_IL1DMBnoBT5um_3",274902.225806452
"2-Hydroxy-4-(methylthio)butyric","171009_Smp_IL1DSW5um_1",278538.451612903
"2-Hydroxy-4-(methylthio)butyric","171009_Smp_IL1DSW5um_2",218372.806451613
"2-Hydroxy-4-(methylthio)butyric","171009_Smp_IL1DSW5um_3",238517.516129032
"2-Hydroxy-4-(methylthio)butyric","171009_Smp_IL1noBT5um_1",237477.258064516
"2-Hydroxy-4-(methylthio)butyric","171009_Smp_IL1noBT5um_2",196250.483870968
"2-Hydroxy-4-(methylthio)butyric","171009_Smp_IL1noBT5um_3",221915.483870968
"2-Hydroxy-4-(methylthio)butyric","171009_Smp_IL1WBT5um_1",298840.322580645
"2-Hydroxy-4-(methylthio)butyric","171009_Smp_IL1WBT5um_2",204488.35483871
"2-Hydroxy-4-(methylthio)butyric","171009_Smp_IL1WBT5um_3",186492.451612903
"2-Hydroxy-4-(methylthio)butyric","171009_Smp_IL1IT05um_1",278223.193548387
"2-Hydroxy-4-(methylthio)butyric","171009_Smp_IL1IT05um_2",269946.032258064
"2-Hydroxy-4-(methylthio)butyric","171009_Smp_IL1IT05um_3",215395.161290323
"2-Hydroxy-4-(methylthio)butyric","171016_Smp_IL2Control_1",172657.580645161
"2-Hydroxy-4-(methylthio)butyric","171016_Smp_IL2Control_2",223124.129032258
"2-Hydroxy-4-(methylthio)butyric","171016_Smp_IL2Control_3",286433.935483871
"2-Hydroxy-4-(methylthio)butyric","171016_Smp_IL2DMB_1",263244.225806452
"2-Hydroxy-4-(methylthio)butyric","171016_Smp_IL2DMB_2",203868.129032258
"2-Hydroxy-4-(methylthio)butyric","171016_Smp_IL2DMB_3",168483.451612903
"2-Hydroxy-4-(methylthio)butyric","171016_Smp_IL2DMBnoBT_1",162720.870967742
"2-Hydroxy-4-(methylthio)butyric","171016_Smp_IL2DMBnoBT_2",426598.419354839
"2-Hydroxy-4-(methylthio)butyric","171016_Smp_IL2DMBnoBT_3",203240.419354839
"2-Hydroxy-4-(methylthio)butyric","171016_Smp_IL2DSW_1",186225.838709677
"2-Hydroxy-4-(methylthio)butyric","171016_Smp_IL2DSW_2",283745.35483871
"2-Hydroxy-4-(methylthio)butyric","171016_Smp_IL2DSW_3",177876.64516129
"2-Hydroxy-4-(methylthio)butyric","171016_Smp_IL2noBT_1",248471.064516129
"2-Hydroxy-4-(methylthio)butyric","171016_Smp_IL2noBT_2",279680.677419355
"2-Hydroxy-4-(methylthio)butyric","171016_Smp_IL2noBT_3",194121.322580645
"2-Hydroxy-4-(methylthio)butyric","171016_Smp_IL2WBT_1",322833.612903226
"2-Hydroxy-4-(methylthio)butyric","171016_Smp_IL2WBT_2",237605.419354839
"2-Hydroxy-4-(methylthio)butyric","171016_Smp_IL2WBT_3",196666.774193548
"2-Hydroxy-4-(methylthio)butyric","171016_Smp_IL2IT0_1",136100.741935484
"2-Hydroxy-4-(methylthio)butyric","171016_Smp_IL2IT0_2",218634.741935484
"2-Hydroxy-4-(methylthio)butyric","171016_Smp_IL2IT0_3",211936.677419355
"2-Hydroxy-4-(methylthio)butyric","171023_Smp_IL2Control5um_1",269669.129032258
"2-Hydroxy-4-(methylthio)butyric","171023_Smp_IL2Control5um_2",190108.096774194
"2-Hydroxy-4-(methylthio)butyric","171023_Smp_IL2Control5um_3",330432.548387097
"2-Hydroxy-4-(methylthio)butyric","171023_Smp_IL2DMB5um_1",372090.580645161
"2-Hydroxy-4-(methylthio)butyric","171023_Smp_IL2DMB5um_2",214907.774193548
"2-Hydroxy-4-(methylthio)butyric","171023_Smp_IL2DMB5um_3",176406.064516129
"2-Hydroxy-4-(methylthio)butyric","171023_Smp_IL2DMBnoBT5um_1",292920.580645161
"2-Hydroxy-4-(methylthio)butyric","171023_Smp_IL2DMBnoBT5um_2",251664.806451613
"2-Hydroxy-4-(methylthio)butyric","171023_Smp_IL2DMBnoBT5um_3",247831.193548387
"2-Hydroxy-4-(methylthio)butyric","171023_Smp_IL2DSW5um_1",359423.193548387
"2-Hydroxy-4-(methylthio)butyric","171023_Smp_IL2DSW5um_2",271296.870967742
"2-Hydroxy-4-(methylthio)butyric","171023_Smp_IL2DSW5um_3",224987.612903226
"2-Hydroxy-4-(methylthio)butyric","171023_Smp_IL2noBT5um_1",289759.580645161
"2-Hydroxy-4-(methylthio)butyric","171023_Smp_IL2noBT5um_2",195547.935483871
"2-Hydroxy-4-(methylthio)butyric","171023_Smp_IL2noBT5um_3",271309.967741935
"2-Hydroxy-4-(methylthio)butyric","171023_Smp_IL2WBT5um_1",233406.032258065
"2-Hydroxy-4-(methylthio)butyric","171023_Smp_IL2WBT5um_2",288666.935483871
"2-Hydroxy-4-(methylthio)butyric","171023_Smp_IL2WBT5um_3",196965.193548387
"2-Hydroxy-4-(methylthio)butyric","171023_Smp_IL2IT05um_1",192917.35483871
"2-Hydroxy-4-(methylthio)butyric","171023_Smp_IL2IT05um_2",281790.193548387
"2-Hydroxy-4-(methylthio)butyric","171023_Smp_IL2IT05um_3",370685.483870968
"3-Sulfopyruvic Acid","171002_Smp_IL1Control_1",NA
"3-Sulfopyruvic Acid","171002_Smp_IL1Control_2",4835.76161522818
"3-Sulfopyruvic Acid","171002_Smp_IL1Control_3",20315.6112261651
"3-Sulfopyruvic Acid","171002_Smp_IL1DMB_1",NA
"3-Sulfopyruvic Acid","171002_Smp_IL1DMB_2",NA
"3-Sulfopyruvic Acid","171002_Smp_IL1DMB_3",NA
"3-Sulfopyruvic Acid","171002_Smp_IL1DMBnoBT_1",NA
"3-Sulfopyruvic Acid","171002_Smp_IL1DMBnoBT_2",NA
"3-Sulfopyruvic Acid","171002_Smp_IL1DSW_1",NA
"3-Sulfopyruvic Acid","171002_Smp_IL1DSW_3",6504.03088005776
"3-Sulfopyruvic Acid","171002_Smp_IL1noBT_1",29511.5377634601
"3-Sulfopyruvic Acid","171002_Smp_IL1noBT_2",13177.5520589797
"3-Sulfopyruvic Acid","171002_Smp_IL1noBT_3",NA
"3-Sulfopyruvic Acid","171002_Smp_IL1WBT_1",NA
"3-Sulfopyruvic Acid","171002_Smp_IL1WBT_2",NA
"3-Sulfopyruvic Acid","171002_Smp_IL1WBT_3",NA
"3-Sulfopyruvic Acid","171002_Smp_IL1IT0_1",NA
"3-Sulfopyruvic Acid","171002_Smp_IL1IT0_2",6389.43144129736
"3-Sulfopyruvic Acid","171002_Smp_IL1IT0_3",NA
"3-Sulfopyruvic Acid","171009_Smp_IL1Control5um_1",NA
"3-Sulfopyruvic Acid","171009_Smp_IL1Control5um_2",37992.3862295371
"3-Sulfopyruvic Acid","171009_Smp_IL1Control5um_3",NA
"3-Sulfopyruvic Acid","171009_Smp_IL1DMB5um_1",NA
"3-Sulfopyruvic Acid","171009_Smp_IL1DMB5um_2",NA
"3-Sulfopyruvic Acid","171009_Smp_IL1DMB5um_3",NA
"3-Sulfopyruvic Acid","171009_Smp_IL1DMBnoBT5um_1",NA
"3-Sulfopyruvic Acid","171009_Smp_IL1DMBnoBT5um_2",NA
"3-Sulfopyruvic Acid","171009_Smp_IL1DMBnoBT5um_3",NA
"3-Sulfopyruvic Acid","171009_Smp_IL1DSW5um_1",NA
"3-Sulfopyruvic Acid","171009_Smp_IL1DSW5um_2",NA
"3-Sulfopyruvic Acid","171009_Smp_IL1DSW5um_3",NA
"3-Sulfopyruvic Acid","171009_Smp_IL1noBT5um_1",NA
"3-Sulfopyruvic Acid","171009_Smp_IL1noBT5um_2",NA
"3-Sulfopyruvic Acid","171009_Smp_IL1noBT5um_3",NA
"3-Sulfopyruvic Acid","171009_Smp_IL1WBT5um_1",NA
"3-Sulfopyruvic Acid","171009_Smp_IL1WBT5um_2",NA
"3-Sulfopyruvic Acid","171009_Smp_IL1WBT5um_3",NA
"3-Sulfopyruvic Acid","171009_Smp_IL1IT05um_1",NA
"3-Sulfopyruvic Acid","171009_Smp_IL1IT05um_2",NA
"3-Sulfopyruvic Acid","171009_Smp_IL1IT05um_3",NA
"3-Sulfopyruvic Acid","171016_Smp_IL2Control_1",NA
"3-Sulfopyruvic Acid","171016_Smp_IL2Control_2",NA
"3-Sulfopyruvic Acid","171016_Smp_IL2Control_3",NA
"3-Sulfopyruvic Acid","171016_Smp_IL2DMB_1",NA
"3-Sulfopyruvic Acid","171016_Smp_IL2DMB_2",NA
"3-Sulfopyruvic Acid","171016_Smp_IL2DMB_3",NA
"3-Sulfopyruvic Acid","171016_Smp_IL2DMBnoBT_1",NA
"3-Sulfopyruvic Acid","171016_Smp_IL2DMBnoBT_2",NA
"3-Sulfopyruvic Acid","171016_Smp_IL2DMBnoBT_3",NA
"3-Sulfopyruvic Acid","171016_Smp_IL2DSW_1",NA
"3-Sulfopyruvic Acid","171016_Smp_IL2DSW_2",NA
"3-Sulfopyruvic Acid","171016_Smp_IL2DSW_3",NA
"3-Sulfopyruvic Acid","171016_Smp_IL2noBT_1",NA
"3-Sulfopyruvic Acid","171016_Smp_IL2noBT_2",NA
"3-Sulfopyruvic Acid","171016_Smp_IL2noBT_3",NA
"3-Sulfopyruvic Acid","171016_Smp_IL2WBT_1",NA
"3-Sulfopyruvic Acid","171016_Smp_IL2WBT_2",NA
"3-Sulfopyruvic Acid","171016_Smp_IL2WBT_3",NA
"3-Sulfopyruvic Acid","171016_Smp_IL2IT0_1",NA
"3-Sulfopyruvic Acid","171016_Smp_IL2IT0_2",NA
"3-Sulfopyruvic Acid","171016_Smp_IL2IT0_3",NA
"3-Sulfopyruvic Acid","171023_Smp_IL2Control5um_1",12693.593372732
"3-Sulfopyruvic Acid","171023_Smp_IL2Control5um_2",NA
"3-Sulfopyruvic Acid","171023_Smp_IL2Control5um_3",NA
"3-Sulfopyruvic Acid","171023_Smp_IL2DMB5um_1",NA
"3-Sulfopyruvic Acid","171023_Smp_IL2DMB5um_2",NA
"3-Sulfopyruvic Acid","171023_Smp_IL2DMB5um_3",NA
"3-Sulfopyruvic Acid","171023_Smp_IL2DMBnoBT5um_1",NA
"3-Sulfopyruvic Acid","171023_Smp_IL2DMBnoBT5um_2",NA
"3-Sulfopyruvic Acid","171023_Smp_IL2DMBnoBT5um_3",NA
"3-Sulfopyruvic Acid","171023_Smp_IL2DSW5um_1",NA
"3-Sulfopyruvic Acid","171023_Smp_IL2DSW5um_2",NA
"3-Sulfopyruvic Acid","171023_Smp_IL2DSW5um_3",NA
"3-Sulfopyruvic Acid","171023_Smp_IL2noBT5um_1",NA
"3-Sulfopyruvic Acid","171023_Smp_IL2noBT5um_2",NA
"3-Sulfopyruvic Acid","171023_Smp_IL2noBT5um_3",NA
"3-Sulfopyruvic Acid","171023_Smp_IL2WBT5um_1",NA
"3-Sulfopyruvic Acid","171023_Smp_IL2WBT5um_2",NA
"3-Sulfopyruvic Acid","171023_Smp_IL2WBT5um_3",NA
"3-Sulfopyruvic Acid","171023_Smp_IL2IT05um_1",NA
"3-Sulfopyruvic Acid","171023_Smp_IL2IT05um_2",NA
"3-Sulfopyruvic Acid","171023_Smp_IL2IT05um_3",NA
"4-Hydroxyisoleucine","171002_Smp_IL1Control_1",37845258.1935484
"4-Hydroxyisoleucine","171002_Smp_IL1Control_2",37545016.516129
"4-Hydroxyisoleucine","171002_Smp_IL1Control_3",17200508.0645161
"4-Hydroxyisoleucine","171002_Smp_IL1DMB_1",29693425.5483871
"4-Hydroxyisoleucine","171002_Smp_IL1DMB_2",42627178.5806452
"4-Hydroxyisoleucine","171002_Smp_IL1DMB_3",50085465.9354839
"4-Hydroxyisoleucine","171002_Smp_IL1DMBnoBT_1",45263188.7741935
"4-Hydroxyisoleucine","171002_Smp_IL1DMBnoBT_2",44064867.6129032
"4-Hydroxyisoleucine","171002_Smp_IL1DSW_1",25231455.6129032
"4-Hydroxyisoleucine","171002_Smp_IL1DSW_3",27460562.1290323
"4-Hydroxyisoleucine","171002_Smp_IL1noBT_1",61250701.6774193
"4-Hydroxyisoleucine","171002_Smp_IL1noBT_2",46184700.2580645
"4-Hydroxyisoleucine","171002_Smp_IL1noBT_3",30271008.2580645
"4-Hydroxyisoleucine","171002_Smp_IL1WBT_1",43107590.7096774
"4-Hydroxyisoleucine","171002_Smp_IL1WBT_2",42775669.8064516
"4-Hydroxyisoleucine","171002_Smp_IL1WBT_3",50276465.5483871
"4-Hydroxyisoleucine","171002_Smp_IL1IT0_1",52078585.4193548
"4-Hydroxyisoleucine","171002_Smp_IL1IT0_2",48836220.7741935
"4-Hydroxyisoleucine","171002_Smp_IL1IT0_3",63537914.8387097
"4-Hydroxyisoleucine","171009_Smp_IL1Control5um_1",105954901.419355
"4-Hydroxyisoleucine","171009_Smp_IL1Control5um_2",159764270.451613
"4-Hydroxyisoleucine","171009_Smp_IL1Control5um_3",141343230.967742
"4-Hydroxyisoleucine","171009_Smp_IL1DMB5um_1",108997289.548387
"4-Hydroxyisoleucine","171009_Smp_IL1DMB5um_2",94780980.6451613
"4-Hydroxyisoleucine","171009_Smp_IL1DMB5um_3",84954441.0322581
"4-Hydroxyisoleucine","171009_Smp_IL1DMBnoBT5um_1",143103407.483871
"4-Hydroxyisoleucine","171009_Smp_IL1DMBnoBT5um_2",81970846.1935484
"4-Hydroxyisoleucine","171009_Smp_IL1DMBnoBT5um_3",100587716.129032
"4-Hydroxyisoleucine","171009_Smp_IL1DSW5um_1",61673892.1290323
"4-Hydroxyisoleucine","171009_Smp_IL1DSW5um_2",69644461.6774193
"4-Hydroxyisoleucine","171009_Smp_IL1DSW5um_3",80252377.2903226
"4-Hydroxyisoleucine","171009_Smp_IL1noBT5um_1",150624413.419355
"4-Hydroxyisoleucine","171009_Smp_IL1noBT5um_2",99879988.9032258
"4-Hydroxyisoleucine","171009_Smp_IL1noBT5um_3",182314580.645161
"4-Hydroxyisoleucine","171009_Smp_IL1WBT5um_1",46978578.0645161
"4-Hydroxyisoleucine","171009_Smp_IL1WBT5um_2",127507888.516129
"4-Hydroxyisoleucine","171009_Smp_IL1WBT5um_3",64526092.6451613
"4-Hydroxyisoleucine","171009_Smp_IL1IT05um_1",50275537.5483871
"4-Hydroxyisoleucine","171009_Smp_IL1IT05um_2",27026480.7741935
"4-Hydroxyisoleucine","171009_Smp_IL1IT05um_3",92629315.3548387
"4-Hydroxyisoleucine","171016_Smp_IL2Control_1",20748128.5806452
"4-Hydroxyisoleucine","171016_Smp_IL2Control_2",36968305.6774193
"4-Hydroxyisoleucine","171016_Smp_IL2Control_3",34411377.5483871
"4-Hydroxyisoleucine","171016_Smp_IL2DMB_1",40938895.8709677
"4-Hydroxyisoleucine","171016_Smp_IL2DMB_2",36520336.1290323
"4-Hydroxyisoleucine","171016_Smp_IL2DMB_3",44319502.5806452
"4-Hydroxyisoleucine","171016_Smp_IL2DMBnoBT_1",49632792.7741935
"4-Hydroxyisoleucine","171016_Smp_IL2DMBnoBT_2",49722625.4193548
"4-Hydroxyisoleucine","171016_Smp_IL2DMBnoBT_3",39249774.9677419
"4-Hydroxyisoleucine","171016_Smp_IL2DSW_1",38257593.2903226
"4-Hydroxyisoleucine","171016_Smp_IL2DSW_2",37420728.1290323
"4-Hydroxyisoleucine","171016_Smp_IL2DSW_3",36922002.9677419
"4-Hydroxyisoleucine","171016_Smp_IL2noBT_1",52718078.4516129
"4-Hydroxyisoleucine","171016_Smp_IL2noBT_2",56934259.3548387
"4-Hydroxyisoleucine","171016_Smp_IL2noBT_3",28253727.0967742
"4-Hydroxyisoleucine","171016_Smp_IL2WBT_1",31543827.6129032
"4-Hydroxyisoleucine","171016_Smp_IL2WBT_2",37839095.2258065
"4-Hydroxyisoleucine","171016_Smp_IL2WBT_3",30825435.8709677
"4-Hydroxyisoleucine","171016_Smp_IL2IT0_1",50154006.9677419
"4-Hydroxyisoleucine","171016_Smp_IL2IT0_2",55667434.5806452
"4-Hydroxyisoleucine","171016_Smp_IL2IT0_3",57334601.5483871
"4-Hydroxyisoleucine","171023_Smp_IL2Control5um_1",66379256.2580645
"4-Hydroxyisoleucine","171023_Smp_IL2Control5um_2",54651674.9677419
"4-Hydroxyisoleucine","171023_Smp_IL2Control5um_3",102435536.258065
"4-Hydroxyisoleucine","171023_Smp_IL2DMB5um_1",72016422.1935484
"4-Hydroxyisoleucine","171023_Smp_IL2DMB5um_2",71193465.8064516
"4-Hydroxyisoleucine","171023_Smp_IL2DMB5um_3",100732334.451613
"4-Hydroxyisoleucine","171023_Smp_IL2DMBnoBT5um_1",53403185.6774193
"4-Hydroxyisoleucine","171023_Smp_IL2DMBnoBT5um_2",48849774.0645161
"4-Hydroxyisoleucine","171023_Smp_IL2DMBnoBT5um_3",58659620.9032258
"4-Hydroxyisoleucine","171023_Smp_IL2DSW5um_1",95291687.483871
"4-Hydroxyisoleucine","171023_Smp_IL2DSW5um_2",79584396.9032258
"4-Hydroxyisoleucine","171023_Smp_IL2DSW5um_3",80294578.8387097
"4-Hydroxyisoleucine","171023_Smp_IL2noBT5um_1",51540472.6451613
"4-Hydroxyisoleucine","171023_Smp_IL2noBT5um_2",82959443.0967742
"4-Hydroxyisoleucine","171023_Smp_IL2noBT5um_3",85673783.2258064
"4-Hydroxyisoleucine","171023_Smp_IL2WBT5um_1",67636232.2580645
"4-Hydroxyisoleucine","171023_Smp_IL2WBT5um_2",87849890.8387097
"4-Hydroxyisoleucine","171023_Smp_IL2WBT5um_3",45966223.6129032
"4-Hydroxyisoleucine","171023_Smp_IL2IT05um_1",44490995.483871
"4-Hydroxyisoleucine","171023_Smp_IL2IT05um_2",61515110.5806452
"4-Hydroxyisoleucine","171023_Smp_IL2IT05um_3",64702412.6451613
"Acetyl-L-carnitine","171002_Smp_IL1Control_1",8092453.74193548
"Acetyl-L-carnitine","171002_Smp_IL1Control_2",8934676.41935484
"Acetyl-L-carnitine","171002_Smp_IL1Control_3",27939894.7096774
"Acetyl-L-carnitine","171002_Smp_IL1DMB_1",7351609.4516129
"Acetyl-L-carnitine","171002_Smp_IL1DMB_2",4160712.32258064
"Acetyl-L-carnitine","171002_Smp_IL1DMB_3",3663987.22580645
"Acetyl-L-carnitine","171002_Smp_IL1DMBnoBT_1",10566032.1290323
"Acetyl-L-carnitine","171002_Smp_IL1DMBnoBT_2",8098252.80645161
"Acetyl-L-carnitine","171002_Smp_IL1DSW_1",14058136.3548387
"Acetyl-L-carnitine","171002_Smp_IL1DSW_3",30954951.7419355
"Acetyl-L-carnitine","171002_Smp_IL1noBT_1",9061007.90322581
"Acetyl-L-carnitine","171002_Smp_IL1noBT_2",7519308.96774194
"Acetyl-L-carnitine","171002_Smp_IL1noBT_3",20413404.9677419
"Acetyl-L-carnitine","171002_Smp_IL1WBT_1",14696685.483871
"Acetyl-L-carnitine","171002_Smp_IL1WBT_2",10485977.1612903
"Acetyl-L-carnitine","171002_Smp_IL1WBT_3",9530185.80645161
"Acetyl-L-carnitine","171002_Smp_IL1IT0_1",6527740.03225806
"Acetyl-L-carnitine","171002_Smp_IL1IT0_2",15437336.1290323
"Acetyl-L-carnitine","171002_Smp_IL1IT0_3",13902701.9677419
"Acetyl-L-carnitine","171009_Smp_IL1Control5um_1",95208526.7096774
"Acetyl-L-carnitine","171009_Smp_IL1Control5um_2",72546010.8387097
"Acetyl-L-carnitine","171009_Smp_IL1Control5um_3",389140006.193548
"Acetyl-L-carnitine","171009_Smp_IL1DMB5um_1",118718905.290323
"Acetyl-L-carnitine","171009_Smp_IL1DMB5um_2",100788253.935484
"Acetyl-L-carnitine","171009_Smp_IL1DMB5um_3",79605134.7096774
"Acetyl-L-carnitine","171009_Smp_IL1DMBnoBT5um_1",156814158.451613
"Acetyl-L-carnitine","171009_Smp_IL1DMBnoBT5um_2",159448510.967742
"Acetyl-L-carnitine","171009_Smp_IL1DMBnoBT5um_3",190648290.064516
"Acetyl-L-carnitine","171009_Smp_IL1DSW5um_1",230007554.064516
"Acetyl-L-carnitine","171009_Smp_IL1DSW5um_2",275557446.193548
"Acetyl-L-carnitine","171009_Smp_IL1DSW5um_3",334192437.677419
"Acetyl-L-carnitine","171009_Smp_IL1noBT5um_1",122895795.870968
"Acetyl-L-carnitine","171009_Smp_IL1noBT5um_2",166689021.419355
"Acetyl-L-carnitine","171009_Smp_IL1noBT5um_3",447387572.645161
"Acetyl-L-carnitine","171009_Smp_IL1WBT5um_1",51385683.7419355
"Acetyl-L-carnitine","171009_Smp_IL1WBT5um_2",58476610.3225806
"Acetyl-L-carnitine","171009_Smp_IL1WBT5um_3",74235838.9677419
"Acetyl-L-carnitine","171009_Smp_IL1IT05um_1",20942224.6451613
"Acetyl-L-carnitine","171009_Smp_IL1IT05um_2",13307372.1935484
"Acetyl-L-carnitine","171009_Smp_IL1IT05um_3",28977692.4516129
"Acetyl-L-carnitine","171016_Smp_IL2Control_1",5748032
"Acetyl-L-carnitine","171016_Smp_IL2Control_2",3894497
"Acetyl-L-carnitine","171016_Smp_IL2Control_3",5873555.22580645
"Acetyl-L-carnitine","171016_Smp_IL2DMB_1",3131212.32258064
"Acetyl-L-carnitine","171016_Smp_IL2DMB_2",4723224.38709677
"Acetyl-L-carnitine","171016_Smp_IL2DMB_3",3940442.35483871
"Acetyl-L-carnitine","171016_Smp_IL2DMBnoBT_1",4531240.64516129
"Acetyl-L-carnitine","171016_Smp_IL2DMBnoBT_2",5933727.41935484
"Acetyl-L-carnitine","171016_Smp_IL2DMBnoBT_3",4609396.58064516
"Acetyl-L-carnitine","171016_Smp_IL2DSW_1",7276865.22580645
"Acetyl-L-carnitine","171016_Smp_IL2DSW_2",8307408.29032258
"Acetyl-L-carnitine","171016_Smp_IL2DSW_3",11802347.9677419
"Acetyl-L-carnitine","171016_Smp_IL2noBT_1",5502209.29032258
"Acetyl-L-carnitine","171016_Smp_IL2noBT_2",5227699.96774194
"Acetyl-L-carnitine","171016_Smp_IL2noBT_3",5036210.16129032
"Acetyl-L-carnitine","171016_Smp_IL2WBT_1",9337531.32258064
"Acetyl-L-carnitine","171016_Smp_IL2WBT_2",4820720.51612903
"Acetyl-L-carnitine","171016_Smp_IL2WBT_3",5570140.38709677
"Acetyl-L-carnitine","171016_Smp_IL2IT0_1",3353054.83870968
"Acetyl-L-carnitine","171016_Smp_IL2IT0_2",2632326.25806452
"Acetyl-L-carnitine","171016_Smp_IL2IT0_3",2439978.61290323
"Acetyl-L-carnitine","171023_Smp_IL2Control5um_1",75332877.1612903
"Acetyl-L-carnitine","171023_Smp_IL2Control5um_2",48708186.7096774
"Acetyl-L-carnitine","171023_Smp_IL2Control5um_3",99130853.4193548
"Acetyl-L-carnitine","171023_Smp_IL2DMB5um_1",42994105.2903226
"Acetyl-L-carnitine","171023_Smp_IL2DMB5um_2",57774181.6774193
"Acetyl-L-carnitine","171023_Smp_IL2DMB5um_3",57379111.8709677
"Acetyl-L-carnitine","171023_Smp_IL2DMBnoBT5um_1",62835321.5483871
"Acetyl-L-carnitine","171023_Smp_IL2DMBnoBT5um_2",62338209.1612903
"Acetyl-L-carnitine","171023_Smp_IL2DMBnoBT5um_3",78664756.3870968
"Acetyl-L-carnitine","171023_Smp_IL2DSW5um_1",170867506.064516
"Acetyl-L-carnitine","171023_Smp_IL2DSW5um_2",187952884.129032
"Acetyl-L-carnitine","171023_Smp_IL2DSW5um_3",220077684.645161
"Acetyl-L-carnitine","171023_Smp_IL2noBT5um_1",62440798.0645161
"Acetyl-L-carnitine","171023_Smp_IL2noBT5um_2",95903763.3548387
"Acetyl-L-carnitine","171023_Smp_IL2noBT5um_3",126134224
"Acetyl-L-carnitine","171023_Smp_IL2WBT5um_1",74032180.3870968
"Acetyl-L-carnitine","171023_Smp_IL2WBT5um_2",86017435.0967742
"Acetyl-L-carnitine","171023_Smp_IL2WBT5um_3",57770589.4193548
"Acetyl-L-carnitine","171023_Smp_IL2IT05um_1",27353308.9032258
"Acetyl-L-carnitine","171023_Smp_IL2IT05um_2",30161481.8064516
"Acetyl-L-carnitine","171023_Smp_IL2IT05um_3",30499352.3870968
"Aconitic Acid","171002_Smp_IL1Control_1",416572.838709677
"Aconitic Acid","171002_Smp_IL1Control_2",497963.677419355
"Aconitic Acid","171002_Smp_IL1Control_3",44569.2580645161
"Aconitic Acid","171002_Smp_IL1DMB_1",6981.51612903226
"Aconitic Acid","171002_Smp_IL1DMB_2",36601.7419354839
"Aconitic Acid","171002_Smp_IL1DMB_3",49021.2258064516
"Aconitic Acid","171002_Smp_IL1DMBnoBT_1",76448.6774193548
"Aconitic Acid","171002_Smp_IL1DMBnoBT_2",67916.1290322581
"Aconitic Acid","171002_Smp_IL1DSW_1",45123.064516129
"Aconitic Acid","171002_Smp_IL1DSW_3",664390.935483871
"Aconitic Acid","171002_Smp_IL1noBT_1",19001.5483870968
"Aconitic Acid","171002_Smp_IL1noBT_2",169247.741935484
"Aconitic Acid","171002_Smp_IL1noBT_3",85688.4516129032
"Aconitic Acid","171002_Smp_IL1WBT_1",454600.258064516
"Aconitic Acid","171002_Smp_IL1WBT_2",79776.1935483871
"Aconitic Acid","171002_Smp_IL1WBT_3",25310.4516129032
"Aconitic Acid","171002_Smp_IL1IT0_1",74783.5161290323
"Aconitic Acid","171002_Smp_IL1IT0_2",475180.903225806
"Aconitic Acid","171002_Smp_IL1IT0_3",184278.161290323
